EAN,SKU,Produkt,Variant,Storlek,Centra Antal,Centra COG (SEK),Centra Enhetskostnad,ES Antal,ES FIFO-värde (SEK),ES Snittkostnad,ES Källa,Antal Diff,Värde Diff (SEK),Värde Diff %,Möjlig Orsak
7340119350133,SP775-W,"W Styrsö Wool Zip Jersey","Off White",L,75,31880,425.07,74,29387.46,397.13,stockChange,-1,-2492.54,-7.82,"Antal skiljer: -1; ES-kostnad lägre - växelkurs/tidpunkt; ES använder stockChange (ej leverans)"
7340119371527,AW166-W,"W Vargön Fat Wool Jacket","Off White",M,58,29060,501.03,58,31542.6,563.26,delivery,0,2482.6,8.54,"Frakt/tull ingår troligen i ES"
7340119357507,SP23-W,"W Andenäs Insulation Jacket","Magnet Grey",M,33,25080,760,33,22761.09,689.73,delivery,0,-2318.91,-9.25,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119389911,VA0258,"W Tvärå Down Jacket","Ivy Green",M,58,60900,1050,58,58784.74,1013.53,delivery,0,-2115.26,-3.47,"Enhetskostnad: -3.5%"
7340119356951,SP23-W,"W Andenäs Insulation Jacket","Mineral Red",M,0,0,0,7,2030,290,stockChange,7,2030,100,"Antal skiljer: +7; Finns endast i ES"
7340119371534,AW166-W,"W Vargön Fat Wool Jacket","Off White",L,36,18720,520,36,20720.31,575.56,delivery,0,2000.31,10.69,"Frakt/tull ingår troligen i ES"
7340119357682,SP23-M,"M Andenäs Insulation Jacket","Magnet Grey",S,17,13889,817,17,11913.77,700.81,delivery,0,-1975.23,-14.22,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119357545,SP23-W,"W Andenäs Insulation Jacket","Willow Gold",S,28,21280,760,28,19312.44,689.73,delivery,0,-1967.56,-9.25,"ES-kostnad lägre - växelkurs/tidpunkt"
7,34012E+12,2017-2018AW,"U Hemavan Wool Beanie","Pawn Pink",One size,0,0,0,17,1819,107,stockChange,17,1819,100,"Antal skiljer: +17; Finns endast i ES"
7340119350102,SP775-W,"W Styrsö Wool Zip Jersey","Off White",XS,11,4658,423.45,16,6390.72,399.42,stockChange,5,1732.72,37.2,"Antal skiljer: +5; ES-kostnad lägre - växelkurs/tidpunkt; ES använder stockChange (ej leverans)"
7340119357491,SP23-W,"W Andenäs Insulation Jacket","Magnet Grey",S,24,18240,760,24,16553.52,689.73,delivery,0,-1686.48,-9.25,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119350041,AW459-W,"W Duved Wool Anorak","Off White",XL,10,4100,410,10,5767.7,576.77,delivery,0,1667.7,40.68,"Stor kostnadsskillnad - kontrollera"
7340119382493,VA0257,"W Ålesund Active Pant","Oyster White",XL,17,4596.8,270.4,17,6245.12,367.36,delivery,0,1648.32,35.86,"Stor kostnadsskillnad - kontrollera"
7340119364796,AW577-M,"M Haga Shirt Jacket","Sand Shell",S,20,8840,442,20,10482.8,524.14,delivery,0,1642.8,18.58,"Frakt/tull ingår troligen i ES"
7340119389928,VA0258,"W Tvärå Down Jacket","Ivy Green",L,43,45150,1050,43,43581.79,1013.53,delivery,0,-1568.21,-3.47,"Enhetskostnad: -3.5%"
7340119378939,VA0223,"W Bohus Overshirt Jacket","Mermaid Green",XS,8,3912,489,8,5390.88,673.86,delivery,0,1478.88,37.8,"Stor kostnadsskillnad - kontrollera"
7340119364420,SP999-W,"W Åhus Long Arm Active Tee","Ocean Blue",S,39,8821.8,226.2,39,10259.34,263.06,delivery,0,1437.54,16.3,"Frakt/tull ingår troligen i ES"
7340119388952,SP901-U,"U Torö Short Sleeve Towel Poncho","Oat and Milk",S/M,73,23030,315.48,73,24441.86,334.82,delivery,0,1411.86,6.13,"Frakt/tull ingår troligen i ES"
7340119364437,SP999-W,"W Åhus Long Arm Active Tee","Ocean Blue",M,38,8595.6,226.2,38,9996.28,263.06,delivery,0,1400.68,16.3,"Frakt/tull ingår troligen i ES"
7340119387764,VA0258,"W Tvärå Down Jacket","Arctic Blue",M,37,38850,1050,37,37500.61,1013.53,delivery,0,-1349.39,-3.47,"Enhetskostnad: -3.5%"
7340119389904,VA0258,"W Tvärå Down Jacket","Ivy Green",S,37,38850,1050,37,37500.61,1013.53,delivery,0,-1349.39,-3.47,"Enhetskostnad: -3.5%"
7340119357514,SP23-W,"W Andenäs Insulation Jacket","Magnet Grey",L,19,14440,760,19,13104.87,689.73,delivery,0,-1335.13,-9.25,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119350003,AW459-W,"W Duved Wool Anorak","Off White",XS,8,3280,410,8,4614.16,576.77,delivery,0,1334.16,40.68,"Stor kostnadsskillnad - kontrollera"
7340119341032,SP21-71-W,"W Fårö Wool Skirt","Off White",M,21,7350,350,21,6036.87,287.47,delivery,0,-1313.13,-17.87,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119372166,AW12-W,"W Fårö Wool Jersey","Dark Emerald Green",M,30,11700,390,30,10433.1,347.77,delivery,0,-1266.9,-10.83,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119390191,VA0287,"W Koltjärn Baselayer Top","Ink Blue",M,90,13680,152,90,14859.9,165.11,delivery,0,1179.9,8.62,"Frakt/tull ingår troligen i ES"
7340119388969,SP901-U,"U Torö Short Sleeve Towel Poncho","Oat and Milk",L/XL,33,9870,299.09,33,11037.51,334.47,delivery,0,1167.51,11.83,"Frakt/tull ingår troligen i ES"
