Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,M,-4,7340119341278,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,L,-5,7340119341285,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,XL,-6,7340119341292,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,XS,-2,7340119360934,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,S,-3,7340119360941,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,M,-4,7340119360958,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,L,-5,7340119360965,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,XL,-6,7340119360972,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Coffee Brown,-COF,0.00,XS,-2,7340119360880,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Coffee Brown,-COF,5220.00,S,-3,7340119360897,,9,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Coffee Brown,-COF,2320.00,M,-4,7340119360903,,4,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Coffee Brown,-COF,5220.00,L,-5,7340119360910,,9,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Coffee Brown,-COF,2900.00,XL,-6,7340119360927,,5,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Soot Black,-SO,1160.00,XS,-2,7340119362570,,2,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Soot Black,-SO,7540.00,S,-3,7340119362587,,13,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Soot Black,-SO,10440.00,M,-4,7340119362594,,18,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Soot Black,-SO,6380.00,L,-5,7340119362600,,11,580,
VARG,AW429-W,AW23,W Senja Insulation Pants,Soot Black,-SO,3480.00,XL,-6,7340119362617,,6,580,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Caviar Black,-CAB,0.00,XS,-2,7340119357583,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Caviar Black,-CAB,0.00,S,-3,7340119357590,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Caviar Black,-CAB,0.00,M,-4,7340119357606,,0,#DIV/0!,
